Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
java,cesiumlanguagewriter,LabelCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; TextPropertyName; FontPropertyName; StylePropertyName; ScalePropertyName; ShowBackgroundPropertyName; BackgroundColorPropertyName; BackgroundPaddingPropertyName; PixelOffsetPropertyName; EyeOffsetPropertyName; HorizontalOriginPropertyName; VerticalOriginPropertyName; HeightReferencePropertyName; FillColorPropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; TranslucencyByDistancePropertyName; PixelOffsetScaleByDistancePropertyName; ScaleByDistancePropertyName; DistanceDisplayConditionPropertyName; DisableDepthTestDistancePropertyName
java,cesiumlanguagewriter,LabelCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24
java,cesiumlanguagewriter,RotationCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UnitQuaternionPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,CornerTypeCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CornerTypePropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,OrientationCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UnitQuaternionPropertyName; ReferencePropertyName; VelocityReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,SensorVolumePortionToDisplayCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PortionToDisplayPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,WallCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; PositionsPropertyName; MinimumHeightsPropertyName; MaximumHeightsPropertyName; GranularityPropertyName; FillPropertyName; MaterialPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; ShadowsPropertyName; DistanceDisplayConditionPropertyName
java,cesiumlanguagewriter,WallCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
java,cesiumlanguagewriter,BoxDimensionsCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CartesianPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,FanCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; DirectionsPropertyName; RadiusPropertyName; PerDirectionRadiusPropertyName; MaterialPropertyName; FillPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; NumberOfRingsPropertyName
java,cesiumlanguagewriter,FanCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
java,cesiumlanguagewriter,StringCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: StringPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,VectorCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; ColorPropertyName; DirectionPropertyName; LengthPropertyName; MinimumLengthInPixelsPropertyName
java,cesiumlanguagewriter,VectorCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
java,cesiumlanguagewriter,RectangularSensorCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; XHalfAnglePropertyName; YHalfAnglePropertyName; RadiusPropertyName; ShowIntersectionPropertyName; IntersectionColorPropertyName; IntersectionWidthPropertyName; ShowLateralSurfacesPropertyName; LateralSurfaceMaterialPropertyName; ShowEllipsoidSurfacesPropertyName; EllipsoidSurfaceMaterialPropertyName; ShowEllipsoidHorizonSurfacesPropertyName; EllipsoidHorizonSurfaceMaterialPropertyName; ShowDomeSurfacesPropertyName; DomeSurfaceMaterialPropertyName; PortionToDisplayPropertyName; EnvironmentConstraintPropertyName; ShowEnvironmentOcclusionPropertyName; EnvironmentOcclusionMaterialPropertyName; ShowEnvironmentIntersectionPropertyName; EnvironmentIntersectionColorPropertyName; EnvironmentIntersectionWidthPropertyName; ShowThroughEllipsoidPropertyName; ShowViewshedPropertyName; ViewshedVisibleColorPropertyName; ViewshedOccludedColorPropertyName; ViewshedResolutionPropertyName
java,cesiumlanguagewriter,RectangularSensorCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
java,cesiumlanguagewriter,LineThicknessCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Cartesian2PropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,IntegerCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NumberPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,LineOffsetCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Cartesian2PropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,ImageMaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ImagePropertyName; RepeatPropertyName; ColorPropertyName; TransparentPropertyName
java,cesiumlanguagewriter,ImageMaterialCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
java,cesiumlanguagewriter,CorridorCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; PositionsPropertyName; WidthPropertyName; HeightPropertyName; HeightReferencePropertyName; ExtrudedHeightPropertyName; ExtrudedHeightReferencePropertyName; CornerTypePropertyName; GranularityPropertyName; FillPropertyName; MaterialPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; ShadowsPropertyName; DistanceDisplayConditionPropertyName; ClassificationTypePropertyName; ZIndexPropertyName
java,cesiumlanguagewriter,CorridorCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
java,cesiumlanguagewriter,TimeConstants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SecondsPerMinute; MinutesPerHour; HoursPerDay; SecondsPerHour; MinutesPerDay; SecondsPerDay; NextBefore86400
java,cesiumlanguagewriter,TilesetCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; UriPropertyName; MaximumScreenSpaceErrorPropertyName
java,cesiumlanguagewriter,TilesetCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
java,cesiumlanguagewriter,ClassificationTypeCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ClassificationTypePropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,RepeatCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Cartesian2PropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,DirectionCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SphericalPropertyName; UnitSphericalPropertyName; CartesianPropertyName; UnitCartesianPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,TranslationCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CartesianPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,BackgroundPaddingCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Cartesian2PropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,StripeMaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: OrientationPropertyName; EvenColorPropertyName; OddColorPropertyName; OffsetPropertyName; RepeatPropertyName
java,cesiumlanguagewriter,ModelCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; GltfPropertyName; ScalePropertyName; MinimumPixelSizePropertyName; MaximumScalePropertyName; IncrementallyLoadTexturesPropertyName; RunAnimationsPropertyName; ShadowsPropertyName; HeightReferencePropertyName; SilhouetteColorPropertyName; SilhouetteSizePropertyName; ColorPropertyName; ColorBlendModePropertyName; ColorBlendAmountPropertyName; DistanceDisplayConditionPropertyName; NodeTransformationsPropertyName; ArticulationsPropertyName
java,cesiumlanguagewriter,ModelCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 19
java,cesiumlanguagewriter,CustomPatternSensorCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; DirectionsPropertyName; RadiusPropertyName; ShowIntersectionPropertyName; IntersectionColorPropertyName; IntersectionWidthPropertyName; ShowLateralSurfacesPropertyName; LateralSurfaceMaterialPropertyName; ShowEllipsoidSurfacesPropertyName; EllipsoidSurfaceMaterialPropertyName; ShowEllipsoidHorizonSurfacesPropertyName; EllipsoidHorizonSurfaceMaterialPropertyName; ShowDomeSurfacesPropertyName; DomeSurfaceMaterialPropertyName; PortionToDisplayPropertyName; EnvironmentConstraintPropertyName; ShowEnvironmentOcclusionPropertyName; EnvironmentOcclusionMaterialPropertyName; ShowEnvironmentIntersectionPropertyName; EnvironmentIntersectionColorPropertyName; EnvironmentIntersectionWidthPropertyName; ShowThroughEllipsoidPropertyName; ShowViewshedPropertyName; ViewshedVisibleColorPropertyName; ViewshedOccludedColorPropertyName; ViewshedResolutionPropertyName
java,cesiumlanguagewriter,CustomPatternSensorCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
java,cesiumlanguagewriter,ConicSensorCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; InnerHalfAnglePropertyName; OuterHalfAnglePropertyName; MinimumClockAnglePropertyName; MaximumClockAnglePropertyName; RadiusPropertyName; ShowIntersectionPropertyName; IntersectionColorPropertyName; IntersectionWidthPropertyName; ShowLateralSurfacesPropertyName; LateralSurfaceMaterialPropertyName; ShowEllipsoidSurfacesPropertyName; EllipsoidSurfaceMaterialPropertyName; ShowEllipsoidHorizonSurfacesPropertyName; EllipsoidHorizonSurfaceMaterialPropertyName; ShowDomeSurfacesPropertyName; DomeSurfaceMaterialPropertyName; PortionToDisplayPropertyName; EnvironmentConstraintPropertyName; ShowEnvironmentOcclusionPropertyName; EnvironmentOcclusionMaterialPropertyName; ShowEnvironmentIntersectionPropertyName; EnvironmentIntersectionColorPropertyName; EnvironmentIntersectionWidthPropertyName; ShowThroughEllipsoidPropertyName; ShowViewshedPropertyName; ViewshedVisibleColorPropertyName; ViewshedOccludedColorPropertyName; ViewshedResolutionPropertyName
java,cesiumlanguagewriter,ConicSensorCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
java,cesiumlanguagewriter,CustomPropertyCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BooleanPropertyName; BoundingRectanglePropertyName; CartesianPropertyName; CartographicRadiansPropertyName; CartographicDegreesPropertyName; Cartesian2PropertyName; UnitCartesianPropertyName; SphericalPropertyName; UnitSphericalPropertyName; RgbaPropertyName; RgbafPropertyName; ColorBlendModePropertyName; CornerTypePropertyName; HeightReferencePropertyName; HorizontalOriginPropertyName; LabelStylePropertyName; NumberPropertyName; NearFarScalarPropertyName; UnitQuaternionPropertyName; ShadowModePropertyName; StringPropertyName; StripeOrientationPropertyName; WsenPropertyName; WsenDegreesPropertyName; UriPropertyName; VerticalOriginPropertyName; DeletePropertyName
java,cesiumlanguagewriter,CustomPropertyCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
java,cesiumlanguagewriter,DistanceDisplayConditionCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DistanceDisplayConditionPropertyName; ReferencePropertyName; DeletePropertyName
