Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
java,cesiumlanguagewriter,PolylineVolumeCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; PositionsPropertyName; ShapePropertyName; CornerTypePropertyName; GranularityPropertyName; FillPropertyName; MaterialPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; ShadowsPropertyName; DistanceDisplayConditionPropertyName
java,cesiumlanguagewriter,PolylineVolumeCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
java,cesiumlanguagewriter,BoxCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; DimensionsPropertyName; HeightReferencePropertyName; FillPropertyName; MaterialPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; ShadowsPropertyName; DistanceDisplayConditionPropertyName
java,cesiumlanguagewriter,BoxCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
java,cesiumlanguagewriter,ArcTypeCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ArcTypePropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,ViewFromCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CartesianPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,PolylineCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; PositionsPropertyName; ArcTypePropertyName; WidthPropertyName; GranularityPropertyName; MaterialPropertyName; FollowSurfacePropertyName; ShadowsPropertyName; DepthFailMaterialPropertyName; DistanceDisplayConditionPropertyName; ClampToGroundPropertyName; ClassificationTypePropertyName; ZIndexPropertyName
java,cesiumlanguagewriter,PolylineCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
java,cesiumlanguagewriter,MaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SolidColorPropertyName; ImagePropertyName; GridPropertyName; StripePropertyName; CheckerboardPropertyName
java,cesiumlanguagewriter,GregorianDate,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MaxValue; MinValue
java,cesiumlanguagewriter,GregorianDate,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
java,cesiumlanguagewriter,PositionListCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ReferenceFramePropertyName; CartesianPropertyName; CartographicRadiansPropertyName; CartographicDegreesPropertyName; ReferencesPropertyName; DeletePropertyName
java,cesiumlanguagewriter,BillboardCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; ImagePropertyName; ScalePropertyName; PixelOffsetPropertyName; EyeOffsetPropertyName; HorizontalOriginPropertyName; VerticalOriginPropertyName; HeightReferencePropertyName; ColorPropertyName; RotationPropertyName; AlignedAxisPropertyName; SizeInMetersPropertyName; WidthPropertyName; HeightPropertyName; ScaleByDistancePropertyName; TranslucencyByDistancePropertyName; PixelOffsetScaleByDistancePropertyName; ImageSubRegionPropertyName; DistanceDisplayConditionPropertyName; DisableDepthTestDistancePropertyName
java,cesiumlanguagewriter,BillboardCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 28
java,cesiumlanguagewriter,PolylineMaterialCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SolidColorPropertyName; PolylineOutlinePropertyName; PolylineArrowPropertyName; PolylineDashPropertyName; PolylineGlowPropertyName; ImagePropertyName; GridPropertyName; StripePropertyName; CheckerboardPropertyName
java,cesiumlanguagewriter,PolylineMaterialCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
java,cesiumlanguagewriter,CylinderCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; LengthPropertyName; TopRadiusPropertyName; BottomRadiusPropertyName; HeightReferencePropertyName; FillPropertyName; MaterialPropertyName; OutlinePropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; NumberOfVerticalLinesPropertyName; SlicesPropertyName; ShadowsPropertyName; DistanceDisplayConditionPropertyName
java,cesiumlanguagewriter,CylinderCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
java,cesiumlanguagewriter,BooleanCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BooleanPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,EyeOffsetCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CartesianPropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,LineCountCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Cartesian2PropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,LabelStyleCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LabelStylePropertyName; ReferencePropertyName; DeletePropertyName
java,cesiumlanguagewriter,Constants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: Epsilon1; Epsilon2; Epsilon3; Epsilon4; Epsilon5; Epsilon6; Epsilon7; Epsilon8; Epsilon9; Epsilon10; Epsilon11; Epsilon12; Epsilon13; Epsilon14; Epsilon15; Epsilon16; Epsilon17; Epsilon18; Epsilon19; Epsilon20; QuarterPi; HalfPi; TwoPi; FourPi; ThreeHalvesPi; RadiansPerDegree; DegreesPerRadian
java,cesiumlanguagewriter,PointCesiumWriter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ShowPropertyName; PixelSizePropertyName; HeightReferencePropertyName; ColorPropertyName; OutlineColorPropertyName; OutlineWidthPropertyName; ScaleByDistancePropertyName; TranslucencyByDistancePropertyName; DistanceDisplayConditionPropertyName; DisableDepthTestDistancePropertyName
java,cesiumlanguagewriter,PointCesiumWriter,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
java,cesiumlanguagewriter.advanced,CesiumInterpolatableWriterAdaptor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
java,cesiumlanguagewriter.advanced,CesiumValuePropertyAdaptors,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 49
java,cesiumlanguagewriter.advanced,CesiumFormattingHelper,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
java,cesiumlanguagewriter.advanced,CesiumWritingHelper,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MaximumInterval
